RegionName,AreaID,TotalIntroducedSpecies,ButterflyIntSp,MothsIntSp,Micro-MothsIntSp,Macro-MothsIntSp,Country,Continent,Island,GDP_AVG5Y,InvBias_SC,Area_SqKms,DensPop,AgricultureCultivated_Area_100,Urban_Area_100,ClosedForest_Area_100,OpenForest_Area_100,Forest_Area_100,MeanAnnualTemperature,AnnualPrecipitation
Afghanistan,AFG.1_1,2,0,2,1,1,Afghanistan,Asia,0,16949.1329,0.25,643838.732,47.61383,6.880037643737317,0.1704728014194826,0.342035702732111,1.15603446754698,1.49807017027909,11.992055123398451,450.04275190228304
Alaska,USA.1_2,21,0,21,18,3,United States,North America,0,59482.72,3.0,1507386.309,0.40109,0.002317759311102024,0.01196375412081536,21.3168887470315,10.4238396976906,31.7407284447221,-4.51209337769406,1029.0917243461101
Albania,ALB.1_1,21,1,20,16,4,Albania,Europe,0,18284.5994,0.5,28727.645,99.56435,16.32934720811534,2.1113048810869857,27.2694403454641,21.6234836434717,48.8929239889358,12.068852783499999,1410.7970441977147
Algeria,DZA.1_1,6,0,6,5,1,Algeria,Africa,0,203565.7801,0.75,2308025.96,20.65004,3.5828644181526164,0.19801592128378234,0.289626675588273,1.13229953639097,1.42192621197924,23.235495190701844,78.27363389042972
Andorra,AND.1_1,0,0,0,0,0,Andorra,Europe,0,3307.2956,,451.1,249.61818,0.02189621195533173,1.1664709278022176,38.1432012261878,10.5937854569341,48.7369866831219,3.494039273357116,1195.8224374308325
Angola,AGO.1_1,3,0,3,2,1,Angola,Africa,0,75025.8111,0.25,1246918.115,28.80564,3.9811693325173465,0.11608843422254456,30.2343230539299,30.7875969636264,61.0219200175563,21.97171271758817,1098.0453893533952
Antarctica,ATA.1_1,0,0,0,0,0,Antarctica,Antarctica,0,,,12365046.68,,0.0,0.0,0.0,0.0,0.0,-37.82794209555577,239.66483993622438
Antigua and Barbuda,ATG.1_1,2,0,2,2,0,Antigua and Barbuda,North America,1,1727.6667,0.75,435.81,220.51115,4.623601626232296,5.1045624850530125,9.06385353280365,45.0668296441952,54.1306831769989,25.915103128658675,1317.404500707229
Argentina,ARG.1_1,8,0,8,7,1,Argentina,South America,0,519784.925,1.75,2758164.992,15.98962,14.5060781278231,0.30802074771291904,8.97530096015859,3.41134292097476,12.3866438811333,14.313754705536956,723.6197030580757
Argntinian Islands,ARG.2_1,0,0,0,0,0,Argentina,South America,1,,1.75,20884.465,7.94991,0.0,0.11598683503355224,26.3452544868546,1.10776129028955,27.4530157771441,4.79140353077213,710.3230634210304
Armenia,ARM.1_1,1,0,1,1,0,Armenia,Asia,0,16747.8308,1.0,29690.165,93.94985,16.76450724712972,2.9457327465610796,11.0688585293431,3.46123441242762,14.5300929417707,5.954765797338134,714.0929771007675
Australia,AUS.1_1,140,2,138,96,42,Australia,Australia,0,1598056.964,3.0,7619879.675,2.9609,4.977804081940863,0.1700216994996928,10.2167453183321,15.7558540267239,25.972599345056,21.937838521262893,490.10950684660725
Australian Antarctic Territories,AUS.4_1,0,0,0,0,0,Australia,Antarctica,1,,,363.034,,0.0,0.0,0.0,0.0,0.0,-1.26153846138669,1842.450427193927
Australian Asian Territories,AUS.5_1,1,0,1,0,1,Australia,Asia,1,,,153.32,18.74228,0.0,0.0,0.0,0.0,0.0,25.658556045695423,2023.821386979863
Australian Islands,AUS.2_1,1,0,1,1,0,Australia,Australia,1,25964.656,,68178.555,7.19641,1.136222734528341,0.39299198187912393,45.9403387377981,19.3548717197675,65.2952104575656,10.437803690055263,1284.7170000161873
Australian Oceania Territories,AUS.3_1,2,0,2,0,2,Australia,Oceania,1,,,40.634,50.42028,0.0,0.0,0.0,0.0,0.0,19.337719298245613,1280.4456187465735
Austria,AUT.1_1,36,1,35,30,5,Austria,Europe,0,469183.386,3.0,83946.896,106.57514,20.96044849335367,3.9753568659270018,44.1265494484765,12.3429203147226,56.4694697631991,6.225736192245854,1196.9805944561772
Azerbaijan,AZE.1_1,2,0,2,1,1,Azerbaijan,Asia,0,59371.2588,0.5,86235.488,121.78326,41.3745041878756,3.2208783143890924,12.1890664934285,4.7211561555915,16.91022264902,11.977547651708134,532.2139517280034
Azores,PRT.2_1,29,1,28,26,2,Portugal,Europe,1,5122.578,2.5,2322.885,107.12523,16.402566600487507,2.9632644001331805,25.8020626523456,24.1775903386646,49.9796529910102,16.013704976415248,1362.8605112569812
Bahamas,BHS.1_1,1,0,1,1,0,Bahamas,North America,1,12363.64,2.5,13388.08,32.0682,0.12280230564221226,1.1545565357519163,16.6782224242299,6.87321033820217,23.5514327624321,25.134399979280992,1094.6074883657532
Bahrain,BHR.1_1,1,0,1,1,0,Bahrain,Asia,1,41976.984,1.5,714.678,3233.78672,3.001205977987085,26.537621933533824,0.00305310882806417,0.969362052910375,0.972415161738439,25.806493591952638,83.35378797126539
Bangladesh,BGD.1_1,5,0,5,3,2,Bangladesh,Asia,0,407805.953,1.0,139384.367,1212.08828,55.801349795035904,5.558843598159808,19.4121733904969,11.2244348492015,30.6366082396984,25.22420366755011,2515.251024520066
Barbados,BRB.1_1,4,0,4,3,1,Barbados,North America,1,5841.9822,2.0,434.64,667.44007,19.281951007549836,23.24697191896149,4.57606865460865,25.0013578838737,29.5774265384823,25.831024607852015,1645.367172212257
Belarus,BLR.1_1,8,0,8,8,0,Belarus,Europe,0,68217.6376,1.25,207069.809,44.85258,37.84537962028856,1.986318457146367,42.524608070067,11.0754230055445,53.6000310756115,6.76120572408756,672.8073738125322
Belgium,BEL.1_1,39,1,38,36,2,Belgium,Europe,0,575724.476,2.5,30707.466,382.75874,39.328087812827775,13.478569974838347,21.0796736879032,17.0973385443869,38.1770122322901,9.840418766702502,937.5126463369282
Belize,BLZ.1_1,0,0,0,0,0,Belize,North America,0,2553.05,1.75,22043.381,19.32325,12.630446482254653,0.34361768774412726,57.8643146356538,11.6027993962251,69.4671140318789,25.2074399716691,2165.8373041714935
Benin,BEN.1_1,6,0,6,4,2,Benin,Africa,0,16962.2221,1.0,115286.16,113.59686,28.758718991128383,1.458957043374323,4.71257255444801,37.2967649280948,42.0093374825428,27.383943752209593,1084.5144776233037
Bhutan,BTN.1_1,0,0,0,0,0,Bhutan,Asia,0,2688.7309,0.25,38762.989,22.00397,0.7172728438892957,0.03764868517601804,73.5194508467615,6.76785898633489,80.2873098330964,8.896469362532876,2313.8105427993214
Bolivia,BOL.1_1,3,0,3,2,1,Bolivia,South America,0,41414.9919,,1084380.219,11.02005,2.122752561120333,0.10466496300435182,51.6134061096841,5.15210261032434,56.7655087200084,19.92505505161479,1390.0342445607557
Bosnia and Herzegovina,BIH.1_1,10,1,9,7,2,Bosnia and Herzegovina,Europe,0,23286.1607,0.75,51068.854,66.05148,17.671973889695607,1.7093447765692211,53.8036829776158,16.2973643113509,70.1010472889667,9.719341273079712,1276.671204356623
Botswana,BWA.1_1,4,0,4,3,1,Botswana,Africa,0,18031.0378,0.5,577870.824,4.19381,1.3872007379725546,0.26075825809308945,0.398210777269468,10.2432911921629,10.6415019694324,21.960922570945467,399.9099236203454
Brazil,BRA.1_1,10,0,10,9,1,Brazil,South America,0,1829126.487,1.75,8509083.325,26.72721,7.282529054437246,0.37413993238897375,50.0944999070219,9.78878833841752,59.8832882454394,24.672597817956515,1823.6382261460478
British African Islands,GBR.3_1,2,0,2,2,0,United Kingdom,Africa,1,,,411.227,8.96192,0.0,0.0,0.0,0.0,0.0,16.65558561376623,2169.2535146077475
British Antarctic Islands,GBR.2_1,0,0,0,0,0,United Kingdom,Antarctica,1,,,4096.701,,0.0,0.0,0.0,0.0,0.0,-1.834853283342023,3242.4671871195055
British Asian Islands,GBR.7_1,0,0,0,0,0,United Kingdom,Asia,1,,,64.448,,0.0,0.0,0.0,0.0,0.0,26.416666764479416,2941.657692933694
British North American Islands,GBR.6_1,8,0,8,7,1,United Kingdom,North America,1,,,1689.807,151.1382,0.4384614354758813,3.090651065026174,10.5103557227584,16.1447525203164,26.6551082430748,25.732538967663636,1235.147240502365
British Oceania Islands,GBR.4_1,0,0,0,0,0,United Kingdom,Oceania,1,,,54.194,1.6528,0.0,0.0,0.0,0.0,0.0,22.850000435197856,1903.8366183428698
Brunei,BRN.1_1,1,0,1,0,1,Brunei,Asia,1,14258.2722,1.5,5777.491,79.86136,0.7897966137836024,3.778606086325732,89.3331465806489,4.1452824390458,93.4784290196947,26.142050099443193,3904.632536779533
Bulgaria,BGR.1_1,32,1,31,26,5,Bulgaria,Europe,0,83363.4007,2.25,111587.671,62.77473,44.91466067461581,2.819805624068103,35.8490611435087,10.4668806295278,46.3159417730365,10.910491740572295,673.5390838286304
Burkina Faso,BFA.1_1,3,0,3,2,1,Burkina Faso,Africa,0,18520.0354,0.75,272946.964,83.16569,35.65565893457185,0.732493237219049,0.132283683204657,8.74443738218009,8.87672106538475,28.45624232801751,772.6414533420451
Burundi,BDI.1_1,2,0,2,1,1,Burundi,Africa,0,2796.5765,1.0,26935.291,424.56761,55.91674624864689,0.9689470888709596,4.19887548080312,16.4522555261771,20.6511310069802,20.301447572276153,1332.8444599488735
Cabo Verde,CPV.1_1,5,0,5,3,2,Cabo Verde,Africa,1,2181.2816,0.25,4090.952,132.73291,3.5723038866438293,1.126836024554424,0.213169789167098,5.90206729097676,6.11523708014386,22.925180556975214,203.7234338492275
Cambodia,KHM.1_1,3,0,3,1,2,Cambodia,Asia,0,38124.7548,1.0,181696.912,110.55283,45.85819741935173,0.9397503634159085,41.3955756541177,8.52842244601372,49.9239981001314,27.145613402970017,1960.1467749998656
Cameroon,CMR.1_1,5,0,5,3,2,Cameroon,Africa,0,43815.9106,1.25,466040.035,61.37014,5.347080357303937,0.45158727684851896,57.9213028160732,20.6500629853098,78.571365801383,24.25931945158454,1844.72379884716
Canada,CAN.1_1,222,4,218,174,44,Canada,North America,0,1957108.4600000002,3.0,9955196.169,2.7178,3.1026902989782554,0.11566914740801025,26.4037931101698,10.9085050129305,37.3122981231003,-6.058634774642234,650.1217154988196
Canary Islands,ESP.2_1,9,2,7,5,2,Spain,Africa,1,50671.842,2.5,7510.469,332.7613,4.320963922670893,4.16889150886306,8.86590715893703,21.533909442871,30.399816601808,17.767001413346104,350.35117507110186
Caspian Sea,XCA.1_1,0,0,0,0,0,Caspian Sea,Asia,0,,,371582.922,144.31142,0.022751066385889113,0.025403481524876398,0.00606336228266651,0.00337913773703085,0.00944250001969736,14.508074174876464,262.0084017000684
Central African Republic,CAF.1_1,2,0,2,1,1,Central African Republic,Africa,0,2400.5263,0.75,620199.668,8.82941,0.5247146428587434,0.0695159987388876,54.285327051026,34.7402439993707,89.0255710503967,25.54689725817645,1421.9014437403196
Chad,TCD.1_1,1,0,1,0,1,Chad,Africa,0,11871.2923,0.0,1269963.003,12.85597,3.5985070875200362,0.03693808051805215,0.545477217787286,5.95471640650654,6.50019362429383,26.648963212457545,299.8367860034555
Chile,CHL.1_1,44,1,43,38,5,Chile,South America,0,297071.332,2.75,752545.103,25.73576,5.443791173762131,0.3088827321663911,22.5831091299753,2.5672548835623,25.1503640135376,8.184355711041228,1940.2501587660129
China,CHN.1_1,31,2,29,24,5,China,Asia,0,16403774.800000003,2.25,9350874.432,149.05228,17.61590596962752,2.5585970559643916,18.8101652811532,6.37886699012474,25.1890322712779,6.415855609784836,722.6176723000566
Colombia,COL.1_1,7,0,7,7,0,Colombia,South America,0,323680.44000000006,1.75,1137189.016,56.16051,1.726287107950917,0.2500250678758702,61.0154252888636,10.1939380766533,71.2093633655169,23.59960389541306,3113.770647884933
Comoros,COM.3_1,1,0,1,1,0,Comoros,Africa,1,,,1673.15,529.29354,0.3239985820630982,3.5136476426799006,69.6221198156682,14.8330379298121,84.4551577454803,23.272300012588502,1768.7709487304687
Cook Islands,NZL.2_1,3,1,2,2,0,New Zealand,Oceania,1,,1.75,283.023,67.39356,0.0,0.0,0.0,0.0,0.0,24.68885708945138,2842.1091476004462
Costa Rica,CRI.1_1,10,1,9,9,0,Costa Rica,North America,0,69503.116,1.0,51177.91,93.81858,31.70333186560592,1.2837328537098676,46.0679209516844,17.2128043046703,63.2807252563547,22.820197253260734,3718.824617672078
