"effect","component","term","estimate","std.error","statistic","p.value","conf.low","conf.high","model"
"fixed","cond","(Intercept)",1.72824810610451,0.438341944033764,3.94269389372283,8.05714646426913e-05,0.869113682885065,2.58738252932396,"Total Lepidoptera"
"fixed","cond","Island",0.224777890523705,0.187281565019951,1.20021364889683,0.230056375806829,-0.142287231883696,0.591843012931106,"Total Lepidoptera"
"fixed","cond","GDP_AVG5Y",2.24285378759356,0.870025918764066,2.57791605884534,0.00993981405146497,0.53763432119962,3.9480732539875,"Total Lepidoptera"
"fixed","cond","Area_SqKms",1.44324723273752,0.5783504254169,2.49545460556577,0.0125795849797707,0.309701228476981,2.57679323699807,"Total Lepidoptera"
"fixed","cond","DensPop",-6.88441553920887,2.65360871955525,-2.59435970664232,0.00947672809624911,-12.0853930585986,-1.68343801981913,"Total Lepidoptera"
"fixed","cond","AgricultureCultivated_Area_100",1.19473154501028,0.47006841732658,2.54161203129765,0.0110342577817084,0.273414376780442,2.11604871324012,"Total Lepidoptera"
"fixed","cond","Urban_Area_100",3.91415896072568,2.36656084403717,1.65394393750233,0.0981389041677011,-0.724215060809895,8.55253298226125,"Total Lepidoptera"
"fixed","cond","Forest_Area_100",0.190143957946434,0.309856300436249,0.613652062839223,0.539445272018144,-0.417163231291435,0.797451147184304,"Total Lepidoptera"
"fixed","cond","MeanAnnualTemperature",-1.24907164404257,0.406802587935352,-3.07046140090208,0.00213728310172848,-2.04639006521355,-0.451753222871596,"Total Lepidoptera"
"fixed","cond","AnnualPrecipitation",-0.250150743390548,0.516046274834259,-0.48474479051494,0.62785738999318,-1.26158285642175,0.761281369640658,"Total Lepidoptera"
"fixed","cond","InvBias_SC",2.12711587098707,0.278447785291805,7.63919119973574,2.1859049705706e-14,1.58136824024019,2.67286350173395,"Total Lepidoptera"
"fixed","cond","(Intercept)",-2.44235983754731,1.08353710428355,-2.25406202324953,0.024192266362255,-4.56605353785588,-0.318666137238733,"Butterflies Presence"
"fixed","cond","Island",0.789988222495636,0.547480742667923,1.4429516162449,0.149034101365678,-0.283054315362733,1.86303076035401,"Butterflies Presence"
"fixed","cond","GDP_AVG5Y",41.229254964278,14.7518080725964,2.79486112898034,0.00519220137311743,12.3162424351419,70.1422674934141,"Butterflies Presence"
"fixed","cond","Area_SqKms",-4.66259741603224,2.50567997498486,-1.86081122193604,0.0627708402010876,-9.5736399237858,0.248445091721313,"Butterflies Presence"
"fixed","cond","DensPop",-23.9195484780865,16.1080448080546,-1.48494424761755,0.137558593509884,-55.490736163231,7.65163920705797,"Butterflies Presence"
"fixed","cond","AgricultureCultivated_Area_100",-1.76452824649573,1.43330058399088,-1.23109434699495,0.21828757958063,-4.57374577013808,1.04468927714662,"Butterflies Presence"
"fixed","cond","Urban_Area_100",11.0095425615764,6.99376360070518,1.57419426651285,0.115442544456355,-2.69798221219292,24.7170673353457,"Butterflies Presence"
"fixed","cond","Forest_Area_100",-0.337393387910945,0.819799339069318,-0.411556062357861,0.680664841771485,-1.94417056703655,1.26938379121466,"Butterflies Presence"
"fixed","cond","MeanAnnualTemperature",0.606600210506135,1.0249073207898,0.59185859853034,0.553945279648647,-1.4021812257333,2.61538164674558,"Butterflies Presence"
"fixed","cond","AnnualPrecipitation",-2.65261113021951,1.38184195775553,-1.91961976210944,0.054905945978134,-5.36097159974667,0.0557493393076447,"Butterflies Presence"
"fixed","cond","InvBias_SC",3.27552024622825,0.959000590646867,3.4155560259028,0.000636519338535017,1.39591362740776,5.15512686504875,"Butterflies Presence"
"fixed","cond","(Intercept)",1.73046628329569,0.438719636556632,3.94435566385303,8.001482925973e-05,0.870591596334193,2.5903409702572,"Total Moths"
"fixed","cond","Island",0.191105558625688,0.185429462486502,1.0306105408659,0.302723491002995,-0.172329509520478,0.554540626771853,"Total Moths"
"fixed","cond","GDP_AVG5Y",2.11861939754277,0.824784704695405,2.56869384880893,0.0102082599410206,0.502071081340277,3.73516771374527,"Total Moths"
"fixed","cond","Area_SqKms",1.54097128747489,0.573525785893642,2.68683871828677,0.00721317722798879,0.41688140291832,2.66506117203146,"Total Moths"
"fixed","cond","DensPop",-6.62020662863776,2.61520664877115,-2.53142772933393,0.0113599224964532,-11.7459174723589,-1.4944957849166,"Total Moths"
"fixed","cond","AgricultureCultivated_Area_100",1.27617164707708,0.465257205200391,2.74293795520571,0.00608921896713416,0.364284281336558,2.18805901281761,"Total Moths"
"fixed","cond","Urban_Area_100",3.81382771974426,2.32318098264445,1.64164038369624,0.100664553299256,-0.739523335807244,8.36717877529576,"Total Moths"
"fixed","cond","Forest_Area_100",0.1860198000137,0.304525459490426,0.610851389322173,0.541297968776817,-0.410839132963046,0.782878732990446,"Total Moths"
"fixed","cond","MeanAnnualTemperature",-1.28487137417962,0.40382362105779,-3.18176378789826,0.00146381152058905,-2.07635112755944,-0.493391620799805,"Total Moths"
"fixed","cond","AnnualPrecipitation",-0.215547276597051,0.51144776239166,-0.421445340945666,0.673429916281549,-1.2179664708583,0.786871917664202,"Total Moths"
"fixed","cond","InvBias_SC",2.07407161799196,0.275360080706716,7.53221604478334,4.98863269552389e-14,1.53437577702675,2.61376745895716,"Total Moths"
"fixed","cond","(Intercept)",1.6756509072876,0.456064008940473,3.67415729906086,0.000238635694138208,0.781781875119316,2.56951993945587,"Micro-moths"
"fixed","cond","Island",0.106498739290721,0.193540555213048,0.550265752691922,0.58213711039402,-0.27283377847474,0.485831257056181,"Micro-moths"
"fixed","cond","GDP_AVG5Y",2.00230342312381,0.832291938238383,2.40577053691263,0.016138397830039,0.371041199553539,3.63356564669407,"Micro-moths"
"fixed","cond","Area_SqKms",1.25036479063144,0.578305005043266,2.16211995353196,0.0306089313906557,0.116907808667388,2.3838217725955,"Micro-moths"
"fixed","cond","DensPop",-9.87322167827418,3.33843920596604,-2.95743641538537,0.00310208720759538,-16.4164422865441,-3.33000107000425,"Micro-moths"
"fixed","cond","AgricultureCultivated_Area_100",1.14439586803698,0.493184061115082,2.32042346512479,0.0203179807335248,0.177772870502215,2.11101886557174,"Micro-moths"
"fixed","cond","Urban_Area_100",5.92749861943461,2.61365306816139,2.26789802045319,0.0233354230367161,0.804832737755683,11.0501645011135,"Micro-moths"
"fixed","cond","Forest_Area_100",0.163852261300872,0.319531815384755,0.51278856568187,0.608099229034527,-0.462418588767948,0.790123111369693,"Micro-moths"
"fixed","cond","MeanAnnualTemperature",-1.51135141629591,0.4196987361183,-3.60103876002596,0.00031694831597451,-2.33394582344475,-0.688757009147059,"Micro-moths"
"fixed","cond","AnnualPrecipitation",-0.358074971321679,0.536326387878251,-0.667643769567728,0.504361011327535,-1.40925537552151,0.693105432878152,"Micro-moths"
"fixed","cond","InvBias_SC",2.17778049289364,0.297737463550489,7.314432207905,2.58471955348952e-13,1.59422578748637,2.7613351983009,"Micro-moths"
"fixed","cond","(Intercept)",-0.267561337603339,0.620735915337675,-0.431038918471131,0.666440072553613,-1.48418137557569,0.949058700369008,"Macro-moths"
